,age,race,earnwke,employed,unemployed,married,union,ne_states,so_states,ce_states,we_states,government,private,self,educ_lths,educ_hs,educ_somecol,educ_aa,educ_bac,educ_adv,female
0,53,1,,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,39,1,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
2,41,1,500,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3,27,1,520,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
4,29,3,615,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
5,50,3,"865,38",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
6,27,1,"712,5",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7,24,1,"711,53",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
8,63,2,440,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
9,43,1,,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
10,53,1,"553,84",1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
11,51,1,600,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
12,42,1,"1730,76",1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
13,36,1,"181,5",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
14,57,1,1442,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
15,39,1,"980,76",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
16,55,1,1216,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
17,45,3,"2692,3",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
18,36,3,"807,69",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
19,47,2,750,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
20,45,2,"769,23",1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
21,40,1,"1192,3",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
22,33,1,480,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
23,43,2,961,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
24,38,2,590,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
25,40,3,"1153,84",1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,46,3,"730,76",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
27,57,1,,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
28,22,1,660,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
29,58,1,538,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
30,34,1,450,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
31,33,1,576,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
32,40,1,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
33,25,1,"692,3",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
34,47,1,160,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
35,42,1,18,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
36,61,1,"644,23",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
37,62,1,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
38,60,1,"508,4",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
39,58,1,1600,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
40,44,1,"1115,38",1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
41,44,1,"1291,25",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
42,24,1,500,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
44,54,1,850,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
46,52,1,2120,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
47,48,1,,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
48,56,1,1750,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
49,40,1,"1923,05",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
50,35,1,2307,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
51,36,1,1625,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
52,27,1,"736,25",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
53,41,1,350,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
54,59,1,1500,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
55,60,1,1000,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
56,55,1,"230,76",1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
57,61,1,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
58,41,1,340,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
59,49,1,,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
60,49,1,858,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
61,24,1,380,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
62,23,1,460,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
63,39,1,720,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
65,35,1,2884,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
66,37,1,360,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
67,41,1,400,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
68,42,1,"423,07",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
69,35,1,600,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
70,58,1,"790,8",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
71,48,1,1442,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
72,35,1,"1384,61",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
73,61,1,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
74,48,1,2403,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
